nation_team_id,nation_team_name
1369,Argentina
1353,Poland
1354,Portugal
1325,Belgium
1335,France
1337,Germany
1318,England
1335,France
1335,France
1325,Belgium
105035,Netherlands
1337,Germany
1343,Italy
1362,Spain
1325,Belgium
1318,England
1354,Portugal
1352,Norway
1369,Argentina
1335,France
1369,Argentina
1353,Poland
1343,Italy
1335,France
1343,Italy
1337,Germany
1369,Argentina
1359,Scotland
105035,Netherlands
1318,England
1318,England
1354,Portugal
1343,Italy
1362,Spain
1362,Spain
1362,Spain
1343,Italy
1335,France
1362,Spain
1354,Portugal
1362,Spain
1335,France
1354,Portugal
1362,Spain
1362,Spain
1369,Argentina
1331,Denmark
1325,Belgium
1343,Italy
1886,Hungary
1337,Germany
1318,England
1362,Spain
1335,France
105035,Netherlands
105035,Netherlands
1343,Italy
1337,Germany
1362,Spain
1369,Argentina
1318,England
105035,Netherlands
1363,Sweden
1325,Belgium
105035,Netherlands
1318,England
1318,England
1362,Spain
1322,Austria
1335,France
1369,Argentina
1318,England
1322,Austria
1318,England
1318,England
1325,Belgium
1354,Portugal
1337,Germany
1335,France
1325,Belgium
1337,Germany
1343,Italy
1369,Argentina
1354,Portugal
1337,Germany
1318,England
1325,Belgium
1331,Denmark
1325,Belgium
1362,Spain
1334,Finland
1337,Germany
1343,Italy
1362,Spain
1318,England
1386,Mexico
1318,England
1337,Germany
1362,Spain
1335,France
1331,Denmark
1369,Argentina
1335,France
105035,Netherlands
1337,Germany
1335,France
1370,Brazil
1318,England
1343,Italy
1335,France
1354,Portugal
1354,Portugal
1343,Italy
1367,Wales
1354,Portugal
1337,Germany
1331,Denmark
105035,Netherlands
1386,Mexico
1354,Portugal
1335,France
1325,Belgium
105035,Netherlands
1343,Italy
1369,Argentina
1337,Germany
1369,Argentina
1354,Portugal
1335,France
1343,Italy
1352,Norway
1354,Portugal
1354,Portugal
1362,Spain
1387,United States
1354,Portugal
1370,Brazil
1370,Brazil
1362,Spain
1369,Argentina
105035,Netherlands
1363,Sweden
1318,England
111455,Canada
1337,Germany
1330,Czech Republic
1362,Spain
1362,Spain
1362,Spain
1386,Mexico
1335,France
1325,Belgium
1322,Austria
1366,Ukraine
1369,Argentina
1331,Denmark
105035,Netherlands
1354,Portugal
1330,Czech Republic
1335,France
1886,Hungary
1369,Argentina
1363,Sweden
1335,France
1354,Portugal
1353,Poland
1354,Portugal
1335,France
1338,Greece
1369,Argentina
1369,Argentina
1318,England
1386,Mexico
1318,England
1322,Austria
1369,Argentina
1370,Brazil
1370,Brazil
1370,Brazil
1370,Brazil
1370,Brazil
1370,Brazil
1366,Ukraine
1335,France
1363,Sweden
1362,Spain
1386,Mexico
1354,Portugal
110081,Northern Ireland
1331,Denmark
1325,Belgium
1367,Wales
1343,Italy
1353,Poland
1322,Austria
1354,Portugal
1331,Denmark
1369,Argentina
1343,Italy
1325,Belgium
1363,Sweden
1337,Germany
105035,Netherlands
1359,Scotland
1366,Ukraine
1354,Portugal
1370,Brazil
1370,Brazil
1370,Brazil
1370,Brazil
105035,Netherlands
1322,Austria
1318,England
1359,Scotland
1343,Italy
1366,Ukraine
1330,Czech Republic
1318,England
1341,Iceland
111473,New Zealand
1413,China PR
105035,Netherlands
1367,Wales
1366,Ukraine
1337,Germany
1343,Italy
1337,Germany
1325,Belgium
1343,Italy
1357,Russia
1331,Denmark
1370,Brazil
1370,Brazil
1370,Brazil
1370,Brazil
1330,Czech Republic
1369,Argentina
105035,Netherlands
1335,France
105035,Netherlands
1318,England
1386,Mexico
1355,Republic of Ireland
1357,Russia
1325,Belgium
1352,Norway
1352,Norway
1325,Belgium
1355,Republic of Ireland
1331,Denmark
